year,url,image_url,assignment_name,mark,color
VIS Course Assignments,http://vis.pku.edu.cn/course/visclass_f22/gallery/a02/2000016633%E9%99%88%E5%87%AF%E7%91%9E_2000016640%E8%83%A1%E8%89%AF/src/index.html,1.png,VIS Course Assignments,1,
VIS Course Assignments,https://vis.pku.edu.cn/course/visclass_f22/gallery/a03/2000016640%E8%83%A1%E8%89%AF/src/index.html,2.png,VIS Course Assignments,,1
VIS Course Assignments,http://vis.pku.edu.cn/course/visclass_f22/gallery/a03/2000013194%E7%86%8A%E4%B8%80%E5%B9%B3/src/index.html,3.png,VIS Course Assignments,,1
VIS Course Assignments,http://vis.pku.edu.cn/course/visclass_f22/gallery/a03/%E9%B2%81%E5%8F%AF%E5%84%BF/src/index.html,4.png,VIS Course Assignments,1,
VIS Course Assignments,http://vis.pku.edu.cn/course/visclass_f22/gallery/final/visclass_f22_group3_final/visclass_f22_group3_final_src/index.html,5.png,VIS Course Assignments,1,
VIS Course Assignments,http://vis.pku.edu.cn/course/datavis_f22/gallery/a02/codes/%e9%99%88%e5%ad%90%e8%81%aa_220122000/,6.png,VIS Course Assignments,1,
VIS Course Assignments,http://vis.pku.edu.cn/course/datavis_f22/gallery/a02/codes/%e7%8e%8b%e4%ba%a6%e8%8c%81_210121319/,7.png,VIS Course Assignments,1,
VIS Course Assignments,http://vis.pku.edu.cn/course/datavis_f22/gallery/a02/codes/%e9%99%88%e7%bf%94_210121318/,8.png,VIS Course Assignments,1,
VIS Course Assignments,http://vis.pku.edu.cn/course/datavis_f22/gallery/a02/codes/%e9%99%88%e6%98%95%e6%82%a6_220111176/,9.png,VIS Course Assignments,1,
VIS Course Assignments,http://vis.pku.edu.cn/history_map_upload/#/person/10000271,10.png,VIS Course Assignments,1,
VIS Course Assignments,http://vis.pku.edu.cn/course/datavis_f22/gallery/final/resource/15/dist/,11.png,VIS Course Assignments,1,
VIS Course Assignments,http://vis.pku.edu.cn/course/datavis_f21/gallery/a02/datavis_f21_zhangxiaolong_2101220010_a02/datavis_f21_zhangxiaolong_2101220010_a02_src/,12.png,VIS Course Assignments,1,
VIS Course Assignments,http://vis.pku.edu.cn/course/datavis_f21/gallery/a02/datavis_f21_chenyinjie_2101220001_a02/datavis_f21_chenyinjie_2101220001_a02_src/,13.png,VIS Course Assignments,1,
