id,conference,title,visual mark,visual channel,symbol layout,text position,multi-channel,url
285_0,InfoVis,Towards a generative theory of diagram design,semantic,shape,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1995.528681
285_3,InfoVis,Towards a generative theory of diagram design,semantic,shape,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1995.528681
361_1,InfoVis,On the semantics of interactive visualizations,non-semantic,color-ordinal,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.1996.559213
368_1,InfoVis,Interactive visualization of multiway tables,non-semantic,color-continuous,continuous,as tick,none,http://dx.doi.org/10.1109/INFVIS.1999.801858
371_4,InfoVis,Dual multiresolution HyperSlice for multivariate data visualization,non-semantic,color-continuous,continuous,none,none,http://dx.doi.org/10.1109/INFVIS.2000.885093
374_1,InfoVis,Visualizing usability log data,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1996.559227
376_0,InfoVis,Visualizing a tennis match,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1996.559229
448_4,InfoVis,Visualizing information on a sphere,non-semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1997.636759
456_1,InfoVis,Coordinating declarative queries with a direct manipulation data exploration environment,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1997.636788
456_3,InfoVis,Coordinating declarative queries with a direct manipulation data exploration environment,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1997.636788
632_0,InfoVis,Cluster and calendar based visualization of time series data,non-semantic,color-discrete,connected,as tick,none,http://dx.doi.org/10.1109/INFVIS.1999.801851
632_3,InfoVis,Cluster and calendar based visualization of time series data,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1999.801851
632_4,InfoVis,Cluster and calendar based visualization of time series data,semantic,color-discrete,uniform,accompanying,none,http://dx.doi.org/10.1109/INFVIS.1999.801851
